timestamp,binary_hash,hamming_to_prev
2025-11-29T21:16:00.823898,10001101 10100000 11011101 00010000 01011110 10110000 01111000 11110000 10000110 11101111 10001011 01101111,8
2025-11-29T21:16:01.129893,10001101 10101000 10111111 00000000 01001110 10101000 01111100 11010001 11000110 11101111 10001011 01101111,12
2025-11-29T21:16:01.422038,10001101 00101000 10011111 00000000 01011110 10100000 01111100 11010000 10000110 11101111 10001011 01101111,6
2025-11-29T21:16:01.706407,10001101 10100100 10011101 00000000 01011110 10100000 01111000 11110000 11000111 11101111 10001011 01101111,8
2025-11-29T21:16:02.007756,10001101 10101000 11111111 00000000 01001110 11100000 11111100 11110001 11000110 11101111 10001011 01101111,11
2025-11-29T21:16:02.293142,10001101 10100000 11111111 00010000 01001110 10100000 01111000 11010000 10000110 11101111 10001011 01101111,8
2025-11-29T21:16:02.691969,10001101 10101010 11011111 00010000 01001110 10110000 01111000 01010000 00000110 11101111 10001011 01101101,7
2025-11-29T21:16:03.056091,10011101 10101010 11011101 00001010 01001111 11101010 01111100 11010000 10000111 11101011 00001011 01101111,17
2025-11-29T21:16:03.423668,10011101 00100000 11111101 00010000 01011110 10110000 01111100 11110001 00000111 11101111 10001011 01101111,18
2025-11-29T21:16:03.767240,10011101 00100000 10111101 00011000 01011110 11110000 01111100 11110001 10000111 11101111 10011011 01101111,5
2025-11-29T21:16:04.039053,10011101 00101000 10111101 00010010 01011110 11111000 01111100 11110000 00000111 11101011 10011011 01101111,7
2025-11-29T21:16:04.314154,10001101 00100000 10111101 00010000 01011110 11110010 01111100 11110001 00000111 11101011 10011011 01101111,6
2025-11-29T21:16:04.641435,10001101 00101000 11111111 00010000 01001111 10100000 11111010 11110001 11000110 11101111 10011011 01101101,16
2025-11-29T21:16:04.934987,10001101 00100000 11111111 00010000 01001111 10111000 01111100 11110000 10000111 11101111 10001011 01101111,11
